fall_year,spring_year,year_str,geo_id_b2020,geo_nm_b2020,grade,count,basez
2024,2025,2024-2025,3.7063E+14,Block 1011,6,2,2
2022,2023,2022-2023,3.7063E+14,Block 1011,7,1,1
2020,2021,2020-2021,3.7063E+14,Block 1011,8,1,1
2023,2024,2023-2024,3.7063E+14,Block 1011,8,1,1
2024,2025,2024-2025,3.7063E+14,Block 1011,8,1,0
2021,2022,2021-2022,3.7063E+14,Block 1011,9,1,1
2024,2025,2024-2025,3.7063E+14,Block 1011,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1011,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1011,12,1,0
2024,2025,2024-2025,3.7063E+14,Block 1011,12,1,1
2021,2022,2021-2022,3.7063E+14,Block 1012,0,1,0
2023,2024,2023-2024,3.7063E+14,Block 1012,0,1,1
2024,2025,2024-2025,3.7063E+14,Block 1012,0,1,1
2020,2021,2020-2021,3.7063E+14,Block 1012,1,1,0
2022,2023,2022-2023,3.7063E+14,Block 1012,1,1,0
2023,2024,2023-2024,3.7063E+14,Block 1012,1,1,0
2020,2021,2020-2021,3.7063E+14,Block 1012,2,1,1
2021,2022,2021-2022,3.7063E+14,Block 1012,3,1,0
2024,2025,2024-2025,3.7063E+14,Block 1012,3,1,1
2020,2021,2020-2021,3.7063E+14,Block 1012,4,1,0
2022,2023,2022-2023,3.7063E+14,Block 1012,4,1,0
2020,2021,2020-2021,3.7063E+14,Block 1012,5,1,0
2024,2025,2024-2025,3.7063E+14,Block 1012,6,2,1
2023,2024,2023-2024,3.7063E+14,Block 1012,7,1,0
2024,2025,2024-2025,3.7063E+14,Block 1012,7,1,1
2020,2021,2020-2021,3.7063E+14,Block 1012,9,2,1
2020,2021,2020-2021,3.7063E+14,Block 1012,10,1,0
2020,2021,2020-2021,3.7063E+14,Block 1012,11,1,1
2021,2022,2021-2022,3.7063E+14,Block 1012,11,1,0
2021,2022,2021-2022,3.7063E+14,Block 1012,12,1,1
2023,2024,2023-2024,3.7063E+14,Block 1012,12,1,1
2020,2021,2020-2021,3.7063E+14,Block 1013,0,2,0
2021,2022,2021-2022,3.7063E+14,Block 1013,0,2,1
2022,2023,2022-2023,3.7063E+14,Block 1013,0,4,3
2023,2024,2023-2024,3.7063E+14,Block 1013,0,3,2
2024,2025,2024-2025,3.7063E+14,Block 1013,0,2,2
2020,2021,2020-2021,3.7063E+14,Block 1013,1,3,2
2021,2022,2021-2022,3.7063E+14,Block 1013,1,2,0
2022,2023,2022-2023,3.7063E+14,Block 1013,1,2,1
2023,2024,2023-2024,3.7063E+14,Block 1013,1,4,3
2024,2025,2024-2025,3.7063E+14,Block 1013,1,2,2
2020,2021,2020-2021,3.7063E+14,Block 1013,2,2,1
2021,2022,2021-2022,3.7063E+14,Block 1013,2,2,2
2022,2023,2022-2023,3.7063E+14,Block 1013,2,5,2
2023,2024,2023-2024,3.7063E+14,Block 1013,2,2,1
2024,2025,2024-2025,3.7063E+14,Block 1013,2,1,0
2021,2022,2021-2022,3.7063E+14,Block 1013,3,3,2
2022,2023,2022-2023,3.7063E+14,Block 1013,3,3,2
2023,2024,2023-2024,3.7063E+14,Block 1013,3,4,1
2024,2025,2024-2025,3.7063E+14,Block 1013,3,1,1
2020,2021,2020-2021,3.7063E+14,Block 1013,4,2,1
2022,2023,2022-2023,3.7063E+14,Block 1013,4,5,3
2023,2024,2023-2024,3.7063E+14,Block 1013,4,3,2
2024,2025,2024-2025,3.7063E+14,Block 1013,4,2,1
2020,2021,2020-2021,3.7063E+14,Block 1013,5,1,1
2021,2022,2021-2022,3.7063E+14,Block 1013,5,2,1
2023,2024,2023-2024,3.7063E+14,Block 1013,5,4,3
2024,2025,2024-2025,3.7063E+14,Block 1013,5,4,2
2020,2021,2020-2021,3.7063E+14,Block 1013,6,1,1
2022,2023,2022-2023,3.7063E+14,Block 1013,6,3,3
2024,2025,2024-2025,3.7063E+14,Block 1013,6,1,1
2020,2021,2020-2021,3.7063E+14,Block 1013,7,5,4
2021,2022,2021-2022,3.7063E+14,Block 1013,7,1,1
2022,2023,2022-2023,3.7063E+14,Block 1013,7,1,1
2023,2024,2023-2024,3.7063E+14,Block 1013,7,2,2
2020,2021,2020-2021,3.7063E+14,Block 1013,8,5,4
2021,2022,2021-2022,3.7063E+14,Block 1013,8,5,4
2022,2023,2022-2023,3.7063E+14,Block 1013,8,1,1
2024,2025,2024-2025,3.7063E+14,Block 1013,8,2,2
2020,2021,2020-2021,3.7063E+14,Block 1013,9,2,2
2021,2022,2021-2022,3.7063E+14,Block 1013,9,7,7
2022,2023,2022-2023,3.7063E+14,Block 1013,9,8,7
2023,2024,2023-2024,3.7063E+14,Block 1013,9,3,2
2024,2025,2024-2025,3.7063E+14,Block 1013,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1013,10,4,3
2021,2022,2021-2022,3.7063E+14,Block 1013,10,3,3
2022,2023,2022-2023,3.7063E+14,Block 1013,10,5,5
2023,2024,2023-2024,3.7063E+14,Block 1013,10,2,1
2024,2025,2024-2025,3.7063E+14,Block 1013,10,2,1
2020,2021,2020-2021,3.7063E+14,Block 1013,11,1,1
2021,2022,2021-2022,3.7063E+14,Block 1013,11,2,2
2022,2023,2022-2023,3.7063E+14,Block 1013,11,3,2
2023,2024,2023-2024,3.7063E+14,Block 1013,11,5,5
2024,2025,2024-2025,3.7063E+14,Block 1013,11,1,0
2021,2022,2021-2022,3.7063E+14,Block 1013,12,1,1
2022,2023,2022-2023,3.7063E+14,Block 1013,12,2,2
2024,2025,2024-2025,3.7063E+14,Block 1013,12,5,5
2020,2021,2020-2021,3.7063E+14,Block 1014,-3,1,0
2022,2023,2022-2023,3.7063E+14,Block 1014,-2,1,0
2023,2024,2023-2024,3.7063E+14,Block 1014,0,1,0
2023,2024,2023-2024,3.7063E+14,Block 1014,1,1,0
2020,2021,2020-2021,3.7063E+14,Block 1014,2,7,6
2023,2024,2023-2024,3.7063E+14,Block 1014,2,1,0
2021,2022,2021-2022,3.7063E+14,Block 1014,3,3,3
2022,2023,2022-2023,3.7063E+14,Block 1014,3,1,1
2023,2024,2023-2024,3.7063E+14,Block 1014,3,1,1
2020,2021,2020-2021,3.7063E+14,Block 1014,4,2,2
2022,2023,2022-2023,3.7063E+14,Block 1014,4,3,3
2024,2025,2024-2025,3.7063E+14,Block 1014,4,1,1
2020,2021,2020-2021,3.7063E+14,Block 1014,5,2,1
2021,2022,2021-2022,3.7063E+14,Block 1014,5,2,2
2023,2024,2023-2024,3.7063E+14,Block 1014,5,5,4
2020,2021,2020-2021,3.7063E+14,Block 1014,6,2,1
2022,2023,2022-2023,3.7063E+14,Block 1014,6,1,0
2024,2025,2024-2025,3.7063E+14,Block 1014,6,4,1
2020,2021,2020-2021,3.7063E+14,Block 1014,7,2,2
2021,2022,2021-2022,3.7063E+14,Block 1014,7,1,0
2023,2024,2023-2024,3.7063E+14,Block 1014,7,3,2
2021,2022,2021-2022,3.7063E+14,Block 1014,8,1,0
2022,2023,2022-2023,3.7063E+14,Block 1014,8,1,0
2023,2024,2023-2024,3.7063E+14,Block 1014,8,2,2
2024,2025,2024-2025,3.7063E+14,Block 1014,8,1,0
